cell_name,sample,cell_type,cell_subtype,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment,source,cell_cohort
cy78_CD45_neg_1_B04_S496_comb,Mel78,Malignant,Malignant,8258,-11.5367,-38.8188,2.404,1.6189,Intermediate,2.3884,Cell Cycle - G1/S,Cell Cycle - G1/S,post.treatment,Tirosh
cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb,Mel79,Malignant,Malignant,2047,22.6888,-30.1499,-0.0266,-0.2463,Not cycling,0.8957,Skin pigmentation,"",treatment.naive,Tirosh
CY88_5_B10_S694_comb,Mel88,Malignant,Malignant,5375,13.1377,35.9278,0.2584,-0.2061,Not cycling,0.6212,Skin pigmentation,"",post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb,Mel79,Malignant,Malignant,5648,26.0339,-26.1241,0.0918,0.1129,Not cycling,0.7635,Hypoxia,"",treatment.naive,Tirosh
cy78_CD45_neg_3_H06_S762_comb,Mel78,Malignant,Malignant,7409,-10.0853,-38.0702,0.1723,0.1432,Not cycling,0.2369,Respiration,"",post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb,Mel79,Malignant,Malignant,6988,25.4295,-26.1667,0.1567,0.2795,Not cycling,1.1806,Stress,Stress,treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb,Mel79,Malignant,Malignant,5195,24.6359,-26.8599,-0.013,0.1861,Not cycling,1.105,Interferon/MHC-II (I),Interferon/MHC-II (I),treatment.naive,Tirosh
CY88_3_D02_S614_comb,Mel88,Malignant,Malignant,7345,13.3912,37.411,-0.02,0.1101,Not cycling,2.3728,Interferon/MHC-II (I),Interferon/MHC-II (I),post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb,Mel79,Malignant,Malignant,4847,25.4819,-26.9679,0.0104,-0.0593,Not cycling,1.0337,Stress,Stress,treatment.naive,Tirosh
cy53_1_CD45_neg_C06_S318_comb,Mel53,Malignant,Malignant,4467,14.1986,-10.1897,-0.1303,0.0032,Not cycling,,"","",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb,Mel79,Malignant,Malignant,3968,18.3041,-30.1675,-0.0847,0.077,Not cycling,1.9911,Stress,Stress,treatment.naive,Tirosh
Cy71_CD45_D08_S524_comb,Mel71,Malignant,Malignant,4660,29.2472,30.9288,0.0512,-0.0258,Not cycling,,"","",treatment.naive,Tirosh
Cy81_FNA_CD45_B01_S301_comb,Mel81,Malignant,Malignant,6387,3.7845,-39.1475,0.0393,-0.1469,Not cycling,0.579,MYC,"",treatment.naive,Tirosh
CY88_5_B06_S690_comb,Mel88,Malignant,Malignant,6987,13.8664,37.0036,0.0615,0.1215,Not cycling,0.6276,Interferon/MHC-II (I),"",post.treatment,Tirosh
cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb,Mel79,Malignant,Malignant,5197,23.0856,-27.9868,0.402,-0.0026,Not cycling,0.6085,Cell Cycle - G1/S,"",treatment.naive,Tirosh
Cy80_II_CD45_B07_S883_comb,Mel80,Malignant,Malignant,5913,-19.6479,42.8383,-0.2414,0.0599,Not cycling,,"","",treatment.naive,Tirosh
cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb,Mel79,Malignant,Malignant,4855,22.8615,-28.3478,0.0658,-0.0954,Not cycling,0.581,Skin pigmentation,"",treatment.naive,Tirosh
Cy81_Bulk_CD45_B10_S118_comb,Mel81,Malignant,Malignant,8366,3.8641,-39.2892,0.3009,0.0167,Not cycling,0.321,NPC/OPC,"",treatment.naive,Tirosh
cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb,Mel79,Malignant,Malignant,2394,22.9908,-29.3241,-0.1889,-0.0275,Not cycling,0.5288,EMT II,"",treatment.naive,Tirosh
CY88_3_F01_S637_comb,Mel88,Malignant,Malignant,6010,13.6022,37.2202,0.0211,-0.0962,Not cycling,0.9579,Interferon/MHC-II (I),"",post.treatment,Tirosh
CY88_3_C01_S601_comb,Mel88,Malignant,Malignant,6332,13.7364,37.3164,0.2578,0.0422,Not cycling,0.3776,Skin pigmentation,"",post.treatment,Tirosh
CY89NEG_E07_S55_comb,Mel89,Malignant,Malignant,7752,38.1968,15.1856,0.0351,0.05,Not cycling,0.788,Skin pigmentation,"",treatment.naive,Tirosh
CY89CORE11_G02_S170_comb,Mel89,Malignant,Malignant,6591,38.2253,15.352,-0.1008,0.0734,Not cycling,0.5097,Skin pigmentation,"",treatment.naive,Tirosh
