Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
NAME,X,Y,LABELS,tumor,treatment,Immune_resistance,Immune_resistance.up,Immune_resistance.down,OE.Immune_resistance,OE.Immune_resistance.up,OE.Immune_resistance.down,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,group,group,numeric,numeric,numeric,numeric,numeric
cy78_CD45_neg_1_B04_S496_comb,-37.67827970, 29.37006277,Mel78,Mel78,ICR,high,high,low, 0.993691162, 0.342758663,-0.6509324992, 8258,12.788062
cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb, 32.64096136, 16.77241651,Mel79,Mel79,TN,low,low,high,-2.291594664,-0.920337444, 1.3712572195, 2047, 8.652947
CY88_5_B10_S694_comb,  7.82882417, 35.85805623,Mel88,Mel88,ICR,low,low,high,-0.391270900,-0.116520225, 0.2747506753, 5375,11.843796
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb,  9.95712193, 10.29147661,Mel79,Mel79,TN,low,low,high,-2.334322424,-1.031275608, 1.3030468155, 5648,11.211766
cy78_CD45_neg_3_H06_S762_comb,-34.02737756, 35.48765631,Mel78,Mel78,ICR,high,high,low, 0.868151165, 0.166383769,-0.7017673961, 7409,12.848823
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb, 13.90818005,  6.61184774,Mel79,Mel79,TN,low,low,high,-2.643474361,-1.049537578, 1.5939367832, 6988,11.434802
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb, 17.76058023,  5.99972600,Mel79,Mel79,TN,low,low,high,-2.666803351,-1.113145111, 1.5536582403, 5195,11.061877
CY88_3_D02_S614_comb,  0.65642783, 45.97201684,Mel88,Mel88,ICR,low,low,high, 0.053051762, 0.016597139,-0.0364546230, 7345,13.112101
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb, 10.65698523,  5.62610890,Mel79,Mel79,TN,low,low,high,-2.653487813,-1.055256288, 1.5982315251, 4847,11.003332
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb, 40.25482214, -4.76984730,Mel79,Mel79,TN,low,low,high,-2.035505982,-0.748881778, 1.2866242036, 3968,10.521237
Cy71_CD45_D08_S524_comb,-44.44068326,-21.94600336,Mel71,Mel71,TN,high,high,low, 1.122800713, 0.402090777,-0.7207099354, 4660,11.876721
Cy81_FNA_CD45_B01_S301_comb, -9.68210926,-48.07577514,Mel81,Mel81,TN,high,high,low, 0.464970207, 0.315582120,-0.1493880871, 6387,12.184997
CY88_5_B06_S690_comb,  2.05943119, 47.47860618,Mel88,Mel88,ICR,high,high,low, 0.708532111, 0.210646820,-0.4978852917, 6987,12.868459
cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb, 21.51525760, 10.76421057,Mel79,Mel79,TN,low,low,high,-2.246141389,-0.869715853, 1.3764255363, 5197,13.288473
Cy80_II_CD45_B07_S883_comb, 30.54696202,-43.40715319,Mel80,Mel80,TN,low,low,low, 0.062394217,-0.109880780,-0.1722749968, 5913,11.552117
cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb, 27.78757013,  2.29717639,Mel79,Mel79,TN,low,low,high,-2.592307987,-0.891792736, 1.7005152512, 4855,11.760886
Cy81_Bulk_CD45_B10_S118_comb, -8.91150895,-48.22106197,Mel81,Mel81,TN,high,low,low, 0.429351720,-0.017071255,-0.4464229747, 8366,13.237888
cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb, 30.21277744, 13.39674550,Mel79,Mel79,TN,low,low,high,-2.489425670,-0.885181565, 1.6042441053, 2394, 9.275098
CY88_3_F01_S637_comb,  6.68992310, 47.49102257,Mel88,Mel88,ICR,low,low,high,-0.223389697,-0.291437750,-0.0680480527, 6010,12.445790
CY88_3_C01_S601_comb,  6.71848318, 46.48691941,Mel88,Mel88,ICR,high,high,low, 0.506498086, 0.133798581,-0.3726995046, 6332,12.906590
CY89NEG_E07_S55_comb,-53.96626636,  5.89911350,Mel89,Mel89,TN,low,low,high,-0.828789705,-0.457189318, 0.3716003870, 7752,13.239197
CY89CORE11_G02_S170_comb,-52.95613895,  5.04576480,Mel89,Mel89,TN,low,low,high,-0.590071005,-0.222668692, 0.3674023134, 6591,12.920509
cy78_CD45_neg_1_D07_S523_comb,-37.76930969, 29.98226530,Mel78,Mel78,ICR,high,high,low, 1.188372466, 0.219259856,-0.9691126099, 8548,12.885709
cy78_CD45_neg_3_D01_S709_comb,-39.47211501, 31.12886706,Mel78,Mel78,ICR,high,low,low, 0.565529757, 0.019401254,-0.5461285033, 8472,12.962049
cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb, 11.58046317, 17.05692823,Mel79,Mel79,TN,low,low,high,-1.691055808,-1.001986738, 0.6890690695, 6065,12.083447
Cy71_CD45_B05_S497_comb,-42.23411121,-22.23410866,Mel71,Mel71,TN,high,high,low, 0.653753532, 0.268339703,-0.3854138286, 4721,10.082721
Cy80_II_CD45_C09_S897_comb, 28.39432701,-38.14389720,Mel80,Mel80,TN,low,low,high,-0.648429061,-0.578597540, 0.0698315211, 6021,12.645582
cy81_FNA_CD45_neg_D04_S1000_comb, -3.37067621,-49.25988595,Mel81,Mel81,TN,low,high,high, 0.158348315, 0.126230119,-0.0321181953, 9551,12.334435
cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb,  7.23545208,  4.82453042,Mel79,Mel79,TN,low,low,high,-2.253033089,-0.929646207, 1.3233868822, 6717,12.997761
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb, 17.88590773, 14.68574526,Mel79,Mel79,TN,low,low,high,-2.276968344,-0.789363855, 1.4876044893, 4758,10.421209
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb, 15.61411334,-11.74709405,Mel79,Mel79,TN,low,low,high,-1.056234669,-0.458648251, 0.5975864181, 2862,11.053664
