Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
NAME,X,Y,LABELS,tumor,cell.type,treatment,OE.B.cell,OE.CAF,OE.Endo.,OE.Macrophage,OE.NK,OE.T.CD4,OE.T.CD8,OE.T.cell,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
cy82_CD45_pos_2_H12_S576_comb,  9.699850115, 22.872290018,Mel82,Mel82,Macrophage,TN,-0.2920942801, 4.205447e-01, 4.898861e-02,-9.045990e-02,-6.816547e-01,-0.8332518694,-0.9218717337,-1.2212699375, 4431, 9.401126
cy81_Bulk_CD45_neg_E02_S146_comb,  8.771700130, 24.163421743,Mel81,Mel81,Endothelial.cell,TN,-1.1604592162, 9.677414e-02, 4.217527e-01,-4.223308e-01,-1.143370e+00,-1.3596199713,-1.7083405384,-2.1839740700, 6154,12.938664
CY88CD45POS_7_C07_S223_comb, 26.217224510, 27.910495393,Mel88,Mel88,Macrophage,ICR,-0.2316488456,-2.924344e-01,-1.478243e-01, 1.068553e+00,-6.545360e-01,-0.6400885327,-1.0129327277,-1.1550753684, 7234,13.067911
cy88_cd45pos_5_C01_S217_comb,  8.132468741, 25.086370734,Mel88,Mel88,T.CD4,ICR,-1.0371488202,-2.355360e-01,-2.071414e-01,-3.834101e-01,-1.354839e+00,-0.8239269685,-0.9888581929,-1.5090185644, 9341,15.123456
cy82_CD45_pos_1_E08_S536_comb,  8.426726756, 23.089605922,Mel82,Mel82,T.CD4,TN,-0.5747531854, 1.123757e-01,-3.941272e-02,-3.860350e-01,-7.893723e-01,-0.0727501705,-0.7202003415,-0.8396701763, 5880,12.852571
cy79_p3_CD45_neg_PDL1_neg_F07_S259_comb,  7.344448321, 23.320229529,Mel79,Mel79,Endothelial.cell,TN,-0.8496676325,-8.657174e-02,-3.979701e-03,-1.458052e-01,-8.005544e-01,-0.9767329217,-1.1869424938,-1.8742068763, 4665,11.826129
CY89CORE11_F03_S159_comb,  8.098457857, 23.861950666,Mel89,Mel89,Endothelial.cell,TN,-1.1453071347, 2.260915e-02,-1.562564e-01,-2.621524e-01,-1.141246e+00,-1.3517015255,-1.4172740196,-1.8944602400, 5300,11.557937
cy82_CD45_neg_2_H12_S288_comb,  9.632455648, 22.809737326,Mel82,Mel82,CAF,TN,-0.5982009086, 4.612616e-01, 3.042843e-02,-1.898530e-01,-6.010640e-01,-0.9858142303,-1.1702864799,-1.5967566008, 5251,10.337151
CY89A_CD45_POS_10_A07_S199_comb, -8.498026387, 32.264609203,Mel89,Mel89,T.CD8,TN,-0.2317068906,-9.112345e-02,-9.953639e-02,-1.333223e-01, 2.733293e-01,-0.5102888550, 1.5880132844, 0.6236985738, 3872,11.745615
cy79_p5_CD45_neg_PDL1_neg_C04_S796_comb,  7.571968981, 22.801832506,Mel79,Mel79,Endothelial.cell,TN,-0.7133940931,-7.969446e-02, 6.079662e-02,-1.109518e-01,-5.829753e-01,-0.8630182200,-0.9376308251,-1.4849118718, 4378,11.694739
cy82_CD45_pos_3_H12_S96_comb,  9.664434912, 23.070324715,Mel82,Mel82,Macrophage,TN,-1.1009261217, 1.986629e-01, 1.370566e-02,-1.264557e-01,-9.821225e-01,-1.3160021543,-1.4602805303,-1.8709728142, 6986,10.335238
cy80_CD45_pos_PD1_pos_D09_S141_comb,  8.065409127, 24.689282704,Mel80,Mel80,T.CD4,TN,-1.0104512679,-2.115998e-01,-2.242185e-01,-6.206794e-01,-1.065242e+00,-0.1195058689,-0.9375841705,-0.8223860301, 8441,11.962981
cy82_CD45_pos_1_H12_S576_comb,  9.724571047, 22.925996899,Mel82,Mel82,Macrophage,TN,-0.7426327747, 3.792126e-01, 7.588444e-03, 1.986442e-01,-7.434315e-01,-0.5841516094,-1.3009745935,-1.5198110182, 6293,10.030384
cy79_p3_CD45_neg_PDL1_neg_H07_S283_comb,  7.895882067, 23.349611944,Mel79,Mel79,Endothelial.cell,TN,-0.7887482751,-2.144658e-01,-4.607822e-02,-1.465352e-01,-8.723546e-01,-0.9709317422,-1.2841557926,-1.5783095186, 3723, 9.983130
CY88_5_B08_S692_comb,  8.044512546, 23.547254625,Mel88,Mel88,CAF,ICR,-1.0139250605, 1.938843e-01,-1.625486e-01,-4.311144e-01,-1.076965e+00,-1.2736544348,-1.5939899099,-2.0081738097, 6828,12.938599
CY75_1FNA_F07_S547_comb_1,-14.295289355,-10.527948717,Mel75,Mel75,T.cell,ICR,-0.4611549207,-1.765717e-02,-3.410020e-03,-1.450126e-01, 1.475502e-01, 0.5915293697, 0.1438824812, 0.6284380316, 2897,10.720577
CY75_1FNA_A05_S485_comb_2, -6.282681516, -8.513708007,Mel75,Mel75,T.CD4,ICR,-0.4252588446,-1.194278e-01,-1.532506e-01,-2.850793e-01,-4.566998e-01, 1.0160485984, 0.4512417129, 0.6150377560, 3670,11.151884
