cell_name,sample,cell_type,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment
Cy72_CD45_H02_S758_comb,72,B_cell,3365,-18.4727,9.1486,0.1437,-0.1262,Not cycling,,"",""
CY58_1_CD45_B02_S974_comb,58,T_cell,3637,6.7665,12.3945,0.0404,0.137,Not cycling,0.8547,CD8 - Cytotoxic,""
Cy71_CD45_D08_S524_comb,71,Malignant,4660,-7.4712,38.4285,0.0594,-0.0743,Not cycling,,"",""
Cy81_FNA_CD45_B01_S301_comb,81,Malignant,6387,-22.9098,-25.6639,0.0809,-0.1862,Not cycling,0.675,MYC,""
Cy80_II_CD45_B07_S883_comb,80,Malignant,5913,38.6177,-14.1548,-0.2282,0.0456,Not cycling,0.7426,Hypoxia,""
Cy81_Bulk_CD45_B10_S118_comb,81,Malignant,8366,-22.8668,-25.7652,0.3186,0.0889,Not cycling,0.3443,NPC/OPC,""
Cy72_CD45_D09_S717_comb,72,T_cell,2826,-1.5084,18.9374,0.0579,-0.191,Not cycling,1.0403,CD4 - Naive1,CD4 - Naive1
Cy74_CD45_A03_S387_comb,74,T_cell,2563,7.9409,13.0263,-0.0111,0.0894,Not cycling,1.7077,CD4 - Cytotoxic,CD4 - Cytotoxic
Cy71_CD45_B05_S497_comb,71,Malignant,4721,-7.4364,39.167,0.3398,0.2742,Not cycling,,"",""
Cy80_II_CD45_C09_S897_comb,80,Malignant,6021,37.9853,-14.6022,-0.0888,-0.1441,Not cycling,1.0072,Hypoxia,Hypoxia
Cy74_CD45_F09_S453_comb,74,T_cell,2682,2.8018,13.4686,0.1322,-0.0998,Not cycling,0.3982,CD8 - Naive2,""
CY58_1_CD45_D03_S999_comb,58,T_cell,3027,-0.4913,15.6803,0.0391,-0.0195,Not cycling,1.5137,CD8 - Memory/Naive1,CD8 - Memory/Naive1
Cy72_CD45_C01_S697_comb,72,T_cell,2882,-0.9568,19.0376,0.0372,0.1245,Not cycling,0.2698,CD8 - Dysfunction,""
Cy71_CD45_D07_S523_comb,71,T_cell,3687,12.5367,7.4342,1.5506,0.9626,G1/S,,"",""
Cy81_FNA_CD45_C12_S228_comb,81,"",2971,-0.9238,18.1192,,,"",,"",""
Cy81_FNA_CD45_E05_S341_comb,81,Malignant,7719,-23.1131,-24.4043,0.3432,-0.0528,Not cycling,0.7907,Hypoxia,""
Cy74_CD45_D04_S424_comb,74,T_cell,2094,4.8354,13.772,0.1524,-0.0613,Not cycling,0.6851,CD8 - Memory/Naive1,""
Cy74_CD45_C11_S419_comb,74,T_cell,2613,3.8566,13.1595,0.1027,-0.1086,Not cycling,0.3646,CD8 - Unassigned2,""
Cy81_Bulk_CD45_E10_S154_comb,81,Malignant,7468,-22.6418,-25.5945,0.6529,0.2629,Not cycling,0.9382,Stress,""
Cy80_II_CD45_H07_S955_comb,80,Malignant,4020,38.8803,-13.9575,0.757,-0.0683,G1/S,0.8239,Interferon/MHC-II (II),""
CY58_1_CD45_F01_S1021_comb,58,"",3923,14.5899,-15.4981,,,"",,"",""
Cy81_FNA_CD45_D09_S333_comb,81,Malignant,5345,-23.3713,-23.3038,-0.0562,0.0242,Not cycling,1.1838,Hypoxia,Hypoxia
Cy71_CD45_E12_S540_comb,71,Malignant,4534,-7.3182,38.1155,-0.1873,0.0097,Not cycling,,"",""
Cy81_FNA_CD45_D07_S235_comb,81,T_cell,3071,-4.5736,17.6462,8e-04,-0.0847,Not cycling,,"",""
Cy72_CD45_D07_S715_comb,72,T_cell,2718,-1.569,18.6411,-0.0163,-0.0795,Not cycling,0.9852,CD4 - Treg,""
Cy72_CD45_E08_S728_comb,72,T_cell,2984,-2.7082,19.4234,-0.0755,-0.0199,Not cycling,0.5558,CD8 - Naive2,""
Cy71_CD45_B07_S499_comb,71,T_cell,2075,5.8607,12.5686,-0.1036,0.2276,Not cycling,,"",""
Cy71_CD45_G02_S554_comb,71,Malignant,4063,-7.8373,37.932,-0.176,-0.054,Not cycling,,"",""
Cy71_CD45_E03_S531_comb,71,T_cell,3103,16.6073,11.7987,0.0957,-0.0418,Not cycling,,"",""
Cy74_CD45_H03_S471_comb,74,T_cell,2824,6.8464,13.8719,0.1106,0.1457,Not cycling,0.5526,CD8 - Unassigned2,""
Cy81_Bulk_CD45_B11_S119_comb,81,"",3809,-20.6084,-22.8097,,,"",,"",""
Cy80_II_CD45_H09_S957_comb,80,Malignant,6570,39.6359,-14.429,0.154,0.2942,Not cycling,0.2734,EMT III,""
Cy72_CD45_E02_S722_comb,72,"",2939,-2.9511,14.1795,,,"",,"",""
Cy72_CD45_D03_S711_comb,72,B_cell,4044,-18.564,15.6394,0.0596,1.2981,G2/M,,"",""
Cy80_II_CD45_B11_S887_comb,80,Malignant,6395,38.39,-14.3419,-0.1169,-0.1214,Not cycling,0.7602,Stress (in vitro),""
Cy81_Bulk_CD45_B07_S115_comb,81,"",3439,-20.4824,-22.4178,,,"",,"",""
Cy81_Bulk_CD45_E04_S148_comb,81,Malignant,7206,-22.7302,-25.5014,0.336,-0.0141,Not cycling,0.336,Stress,""
CY58_1_CD45_A06_S966_comb,58,T_cell,3431,7.2598,12.1436,-0.0242,-0.0078,Not cycling,0.9413,CD8 - Cytotoxic,""
Cy80_II_CD45_D11_S911_comb,80,Malignant,7098,39.9641,-14.8227,1.3275,0.2515,G1/S,0.8308,Cell Cycle - G1/S,""
Cy81_FNA_CD45_A09_S201_comb,81,T_cell,2851,0.0039,7.9578,0.0354,0.062,Not cycling,,"",""
Cy81_FNA_CD45_B12_S216_comb,81,T_cell,3380,-0.5954,19.6568,0.1069,0.0332,Not cycling,,"",""
Cy71_CD45_B08_S500_comb,71,T_cell,2783,-0.6471,18.1861,0.1594,-0.1174,Not cycling,,"",""
Cy81_FNA_CD45_G10_S370_comb,81,Malignant,2821,-22.4315,-25.1843,-0.2254,-0.1924,Not cycling,0.8191,MYC,""
Cy71_CD45_E11_S539_comb,71,Malignant,4925,-7.5717,38.6934,0.4958,0.3939,Not cycling,,"",""
Cy81_FNA_CD45_C09_S321_comb,81,Malignant,7589,-23.0526,-25.3249,0.3369,-0.1165,Not cycling,0.3756,Translation initiation,""
CY58_1_CD45_D11_S1007_comb,58,T_cell,3084,1.4882,12.5318,0.2664,-0.1015,Not cycling,0.9088,CD8 - Naive2,""
Cy80_II_CD45_G07_S943_comb,80,Malignant,5909,39.3395,-16.0296,2.4265,0.9345,G1/S,2.9519,Cell Cycle - G1/S,Cell Cycle - G1/S
Cy72_CD45_F12_S744_comb,72,T_cell,3030,-2.0881,18.9912,0.1397,0.0509,Not cycling,0.7984,CD4 - Stress/HSP,""
Cy80_II_CD45_G05_S941_comb,80,Fibroblast,3834,-13.0035,-5.9477,-0.101,0.129,Not cycling,,"",""
Cy72_CD45_C07_S703_comb,72,T_cell,3309,-1.449,18.0459,0.0115,-0.0312,Not cycling,0.3423,CD8 - Memory/Naive1,""
Cy71_CD45_G08_S560_comb,71,Malignant,3980,-7.7794,38.4453,0.327,0.7226,G2/M,,"",""
Cy72_CD45_H07_S763_comb,72,"",4498,25.0436,-10.1082,,,"",,"",""
Cy74_CD45_F07_S451_comb,74,T_cell,2994,8.0049,13.1006,-0.0591,0.0341,Not cycling,0.3245,CD8 - Heat shock,""
Cy71_CD45_F06_S546_comb,71,Malignant,4719,-7.6912,38.4723,0.28,-0.0923,Not cycling,,"",""
Cy81_FNA_CD45_B04_S208_comb,81,T_cell,2776,0.8818,7.3945,0.0702,0.1462,Not cycling,,"",""
Cy81_Bulk_CD45_D09_S141_comb,81,"",12845,-23.3048,-25.6649,,,"",,"",""
Cy74_CD45_C02_S410_comb,74,T_cell,3181,8.0638,13.1353,0.5313,0.0352,Not cycling,1.4859,CD4 - Interferon,CD4 - Interferon
Cy81_Bulk_CD45_D01_S133_comb,81,Malignant,6992,-23.2337,-23.0032,0.0357,-0.1951,Not cycling,1.3178,Hypoxia,Hypoxia
Cy81_FNA_CD45_G01_S265_comb,81,T_cell,3518,-3.8345,11.3817,0.0302,0.1293,Not cycling,,"",""
Cy81_FNA_CD45_D02_S230_comb,81,T_cell,3530,-0.8671,18.2199,0.0728,0.0598,Not cycling,,"",""
Cy81_Bulk_CD45_D10_S142_comb,81,Malignant,9554,-23.238,-25.2664,0.2363,0.2392,Not cycling,0.8021,Stress,""
CY58_1_CD45_A10_S970_comb,58,T_cell,3388,16.5163,11.5924,0.0058,-0.0319,Not cycling,1.9508,CD4 - Treg,CD4 - Treg
Cy81_FNA_CD45_C05_S317_comb,81,Malignant,5609,-23.2714,-23.3974,-0.0181,-0.1915,Not cycling,1.0507,Hypoxia,Hypoxia
Cy72_CD45_D12_S720_comb,72,T_cell,2816,-3.2059,19.2434,0.12,-0.0828,Not cycling,0.3132,CD8 - Unassigned1,""
Cy80_II_CD45_B01_S877_comb,80,Malignant,6089,39.0198,-14.4253,0.4816,-0.0474,Not cycling,0.7616,Hypoxia,""
CY58_1_CD45_F11_S1031_comb,58,T_cell,3259,-2.721,15.6119,-0.0132,-0.221,Not cycling,1.2928,CD8 - Memory/Naive1,CD8 - Memory/Naive1
Cy81_Bulk_CD45_G12_S180_comb,81,Malignant,8971,-23.0856,-25.5749,0.2641,1.1823,G2/M,1.5411,Cell Cycle - G2/M,Cell Cycle - G2/M
Cy81_FNA_CD45_F01_S253_comb,81,T_cell,3907,-4.399,9.7382,-0.0081,0.0932,Not cycling,,"",""
Cy74_CD45_A08_S392_comb,74,T_cell,3540,6.5682,14.0173,-0.0934,-0.0161,Not cycling,0.6489,CD4 - Interferon,""
Cy71_CD45_G06_S558_comb,71,T_cell,3168,1.9124,17.3228,-0.0345,0.0763,Not cycling,,"",""
Cy74_CD45_A04_S388_comb,74,T_cell,2456,4.8649,14.1576,-0.0266,-0.1043,Not cycling,1.7898,CD4 - Naive1,CD4 - Naive1
CY58_1_CD45_B01_S973_comb,58,T_cell,3149,-0.9927,18.4459,0.1437,0.1414,Not cycling,0.2753,CD4 - Naive2,""
CY58_1_CD45_H12_S1056_comb,58,T_cell,7066,-9.9829,9.2899,0.2907,0.2493,Not cycling,1.1167,CD4 - Cytotoxic,CD4 - Cytotoxic
Cy81_FNA_CD45_F02_S350_comb,81,Malignant,5755,-22.4634,-25.7946,-0.1647,-0.1002,Not cycling,0.2864,Respiration,""
CY58_1_CD45_F05_S1025_comb,58,T_cell,2035,1.6821,12.0368,0.1579,-0.1556,Not cycling,0.8727,CD8 - Chromatin,""
Cy71_CD45_H06_S570_comb,71,Malignant,4796,-7.4316,38.7911,0.4306,-0.0574,Not cycling,,"",""
Cy74_CD45_E06_S438_comb,74,"",2628,4.8375,14.271,,,"",,"",""
CY58_1_CD45_H02_S1046_comb,58,T_cell,2864,3.4412,13.7142,0.0343,0.0201,Not cycling,0.3411,CD4 - Dysfunction,""
Cy80_II_CD45_B09_S885_comb,80,Malignant,5152,39.4971,-14.3015,0.2775,0.0083,Not cycling,0.5238,Interferon/MHC-II (II),""
Cy72_CD45_A07_S679_comb,72,B_cell,3666,-17.492,5.5946,0.0028,0.0272,Not cycling,,"",""
Cy74_CD45_G02_S458_comb,74,T_cell,3102,1.7081,17.1993,0.0383,0.1437,Not cycling,1.4869,CD8 - Interferon,CD8 - Interferon
Cy81_FNA_CD45_H12_S384_comb,81,Malignant,8769,-23.3329,-25.2653,0.3439,0.1454,Not cycling,0.4687,Hypoxia,""
Cy71_CD45_H05_S569_comb,71,"",2194,-17.395,5.58,,,"",,"",""
