Column1,Column2,Column3,Column1,Column2,Column3,,,
NAME,X,Y,NAME,CLUSTER,SUB-CLUSTER,,,
TYPE,numeric,numeric,TYPE,group,group,,,
Cy72_CD45_H02_S758_comb,56.97119099,-63.90448551,Cy72_CD45_H02_S758_comb,B,B,cy84-Met-CD45-pos-D03-S903-comb,T,T
CY58_1_CD45_B02_S974_comb,-50.97466154,38.65726193,CY58_1_CD45_B02_S974_comb,T,T,cy80-CD45-neg-F06-S450-comb,T,T
Cy72_CD45_D09_S717_comb,-10.23095749,59.23196056,Cy72_CD45_D09_S717_comb,T,T,cy84-Met-CD45-pos-H10-S958-comb,undefined,undefined
Cy74_CD45_A03_S387_comb,-56.31522012,37.91460557,Cy74_CD45_A03_S387_comb,T,T,cy84-Met-CD45-pos-B05-S881-comb,T,T
Cy74_CD45_F09_S453_comb,-42.51907459,41.17200205,Cy74_CD45_F09_S453_comb,T,T,cy80-CD45-neg-B06-S402-comb,T,T
CY58_1_CD45_D03_S999_comb,-11.42930878,55.51384099,CY58_1_CD45_D03_S999_comb,T,T,cy80-CD45-neg-G12-S468-comb,T,T
Cy72_CD45_C01_S697_comb,-4.737136586,65.70879611,Cy72_CD45_C01_S697_comb,T,T,cy80-CD45-neg-A07-S391-comb,T,T
Cy81_FNA_CD45_C12_S228_comb,-12.86451962,65.18060299,Cy71_CD45_D07_S523_comb,T,T,cy80-CD45-neg-A05-S389-comb,T,T
Cy74_CD45_D04_S424_comb,-44.49266458,44.08970629,Cy81_FNA_CD45_C12_S228_comb,undefined,undefined,cy80-CD45-neg-D03-S423-comb,T,T
Cy74_CD45_C11_S419_comb,-39.18224228,43.49311699,Cy74_CD45_D04_S424_comb,T,T,cy80-CD45-neg-F12-S456-comb,undefined,undefined
CY58_1_CD45_F01_S1021_comb,69.57733975,-14.08992891,Cy74_CD45_C11_S419_comb,T,T,cy80-CD45-neg-D02-S422-comb,undefined,undefined
Cy81_FNA_CD45_D07_S235_comb,-8.577425259,46.61404836,CY58_1_CD45_F01_S1021_comb,undefined,undefined,cy84-Primary-CD45-neg-G03-S1035-comb,CAF,CAF
Cy72_CD45_D07_S715_comb,-12.93511204,51.7117954,Cy81_FNA_CD45_D07_S235_comb,T,T,cy80-CD45-neg-C08-S416-comb,undefined,undefined
Cy72_CD45_E08_S728_comb,-7.719248214,57.35594029,Cy72_CD45_D07_S715_comb,T,T,cy80-CD45-neg-E04-S436-comb,T,T
Cy74_CD45_H03_S471_comb,-41.40505401,10.40738122,Cy72_CD45_E08_S728_comb,T,T,cy80-CD45-neg-D07-S427-comb,undefined,undefined
Cy72_CD45_E02_S722_comb,-15.36516652,55.95046496,Cy71_CD45_B07_S499_comb,T,T,cy80-CD45-neg-H03-S471-comb,T,T
Cy72_CD45_D03_S711_comb,30.84270478,-38.26713509,Cy71_CD45_E03_S531_comb,T,T,cy80-CD45-neg-G01-S457-comb,T,T
Cy81_Bulk_CD45_B07_S115_comb,59.72381037,5.635852946,Cy74_CD45_H03_S471_comb,T,T,cy80-CD45-neg-B05-S401-comb,undefined,undefined
CY58_1_CD45_A06_S966_comb,-52.0042929,37.44375601,Cy81_Bulk_CD45_B11_S119_comb,undefined,undefined,cy80-CD45-neg-C12-S420-comb,T,T
Cy81_FNA_CD45_A09_S201_comb,-33.82472598,49.10613496,Cy72_CD45_E02_S722_comb,undefined,undefined,cy80-CD45-neg-A12-S396-comb,T,T
Cy81_FNA_CD45_B12_S216_comb,-20.9973454,56.97832455,Cy72_CD45_D03_S711_comb,B,B,cy80-CD45-neg-A10-S394-comb,undefined,undefined
CY58_1_CD45_D11_S1007_comb,-17.87269071,41.59169752,Cy81_Bulk_CD45_B07_S115_comb,undefined,undefined,cy80-CD45-neg-F04-S448-comb,T,T
Cy72_CD45_F12_S744_comb,-7.507967069,54.89210193,CY58_1_CD45_A06_S966_comb,T,T,cy78-CD45-neg-3-B03-S687-comb,undefined,undefined
Cy80_II_CD45_G05_S941_comb,69.36620327,20.95367682,Cy81_FNA_CD45_A09_S201_comb,T,T,cy80-CD45-neg-G02-S458-comb,undefined,undefined
Cy72_CD45_C07_S703_comb,-9.743922994,55.94475875,Cy81_FNA_CD45_B12_S216_comb,T,T,cy84-Met-CD45-pos-B02-S878-comb,T,T
Cy72_CD45_H07_S763_comb,-20.98905472,-67.29921632,Cy71_CD45_B08_S500_comb,T,T,cy80-CD45-neg-F10-S454-comb,B,B
Cy74_CD45_F07_S451_comb,-51.95914554,38.60059056,CY58_1_CD45_D11_S1007_comb,T,T,cy78-CD45-neg-2-A06-S582-comb,T,T
Cy81_FNA_CD45_B04_S208_comb,-32.0134282,45.36493965,Cy72_CD45_F12_S744_comb,T,T,cy80-CD45-neg-A11-S395-comb,T,T
Cy74_CD45_C02_S410_comb,-67.87310188,-14.70367202,Cy80_II_CD45_G05_S941_comb,CAF,CAF,cy84-Met-CD45-pos-B07-S883-comb,T,T
Cy81_FNA_CD45_G01_S265_comb,-18.50420607,18.9520706,Cy72_CD45_C07_S703_comb,T,T,cy80-CD45-neg-E09-S441-comb,NK,NK
Cy81_FNA_CD45_D02_S230_comb,-11.74789249,63.53205205,Cy72_CD45_H07_S763_comb,undefined,undefined,cy80-CD45-neg-D01-S421-comb,NK,NK
CY58_1_CD45_A10_S970_comb,-22.91145265,55.85054725,Cy74_CD45_F07_S451_comb,T,T,cy80-CD45-neg-H07-S475-comb,T,T
Cy72_CD45_D12_S720_comb,-5.002948095,61.10263363,Cy81_FNA_CD45_B04_S208_comb,T,T,cy80-CD45-neg-E02-S434-comb,B,B
CY58_1_CD45_F11_S1031_comb,-10.4419223,49.27469444,Cy81_Bulk_CD45_D09_S141_comb,undefined,undefined,cy80-CD45-neg-C05-S413-comb,T,T
Cy81_FNA_CD45_F01_S253_comb,-18.56020249,18.83875007,Cy74_CD45_C02_S410_comb,T,T,cy84-Met-CD45-pos-H09-S957-comb,Macrophage,Macrophage
Cy74_CD45_A08_S392_comb,-39.27400305,10.94915055,Cy81_FNA_CD45_G01_S265_comb,T,T,cy78-CD45-neg-2-B11-S599-comb,undefined,undefined
Cy74_CD45_A04_S388_comb,-44.96680921,44.68457212,Cy81_FNA_CD45_D02_S230_comb,T,T,cy78-CD45-neg-3-A06-S678-comb,undefined,undefined
